aug_type,feature_distance,ratio_distortion
none,0.0,0.0
flip,1.8441650495979347e-07,2.2351741790771484e-08
rotation,1.4497379890419716e-07,3.104408463627806e-08
elastic,0.009089613203471954,0.0003149453565129079
uniform_intensity,0.025288495291582603,5.300392696581113e-05
perchannel_intensity,0.11633372506315198,0.01680653529931362
none,0.0,0.0
flip,7.831575232088387e-08,1.614292521878724e-08
rotation,8.974666900913605e-08,1.7384687467369986e-08
elastic,0.007072686911752742,0.00025015932696987876
uniform_intensity,0.04846440066520591,0.00010743463911540019
perchannel_intensity,0.12760040055354588,0.014879741345617004
none,0.0,0.0
flip,1.6639192683040907e-07,1.9868215517249155e-08
rotation,1.387671088596671e-07,1.9868215517249155e-08
elastic,0.009977940641034988,0.000491955247707665
uniform_intensity,0.042602384778171985,1.4751404857271666e-05
perchannel_intensity,0.10400017385687343,0.016257389271212237
none,0.0,0.0
flip,1.2130912902772922e-07,1.2417634032146907e-08
rotation,1.3968346003283753e-07,1.2417634032146907e-08
elastic,0.011084562537912193,0.00032344236969947813
uniform_intensity,0.045352886837694215,1.057734082809958e-06
perchannel_intensity,0.12065655052682381,0.017585168349743517
none,0.0,0.0
flip,9.167114795262093e-08,1.862645149230957e-08
rotation,8.84494213920552e-08,1.2417634032146907e-08
elastic,0.02719431492283292,0.0004946677654515952
uniform_intensity,0.035291642032706766,2.3424625757328956e-06
perchannel_intensity,0.09916159277097812,0.012673464265113243
none,0.0,0.0
flip,9.121513032667993e-08,8.692343733684993e-09
rotation,1.726247905231735e-07,2.11099777658319e-08
elastic,0.017001396882681714,0.0008226301579270512
uniform_intensity,0.024802460999087367,2.776210444110916e-06
perchannel_intensity,0.13084070710510748,0.015631345635879503
none,0.0,0.0
flip,1.2284768031926161e-07,2.9802322387695312e-08
rotation,1.639046098470767e-07,2.7318796114172983e-08
elastic,0.015442552302513518,0.000646924224565737
uniform_intensity,0.01947524785334416,4.358837975537711e-06
perchannel_intensity,0.1233425308728427,0.01610645548334965
none,0.0,0.0
flip,8.132754530437486e-08,1.3659398057086491e-08
rotation,4.923790367119221e-08,4.967053879312289e-09
elastic,0.01654931990200712,0.0004125597595702857
uniform_intensity,0.058382216923099695,5.0096461488902125e-06
perchannel_intensity,0.10161929359620052,0.013338118803224008
none,0.0,0.0
flip,1.9708014642325992e-07,1.614292521878724e-08
rotation,1.2318310850639316e-07,1.3659398057086491e-08
elastic,0.013558740223979765,0.00032911747839534653
uniform_intensity,0.02784428302817906,1.855852686576398e-05
perchannel_intensity,0.13651440946087914,0.016161021272762647
none,0.0,0.0
flip,1.4836199896675913e-07,1.2417634032146907e-08
rotation,1.8538701894880232e-07,2.7318796114172983e-08
elastic,0.02358905691225762,0.000538506981683895
uniform_intensity,0.041439700031488294,5.445629289990706e-06
perchannel_intensity,0.1418223046536367,0.015009438874002638
none,0.0,0.0
flip,4.769829771430393e-08,1.2417634032146907e-08
rotation,1.0348262998122102e-07,1.862645149230957e-08
elastic,0.010792946304640519,0.0003246313586714678
uniform_intensity,0.02906442507541443,4.9371520678143097e-05
