cell_type,experiment,n_cells_unet,fg_frac_unet,n_cells_cp,fg_frac_cp,unet_pred_mean
HEPG2,HEPG2-07,78,0.14825439453125,103,0.14183425903320312,0.14825439453125
HEPG2,HEPG2-07,122,0.2849578857421875,238,0.2789459228515625,0.2849578857421875
HEPG2,HEPG2-11,110,0.23602294921875,164,0.24335479736328125,0.23602294921875
HEPG2,HEPG2-03,38,0.0674285888671875,44,0.06719970703125,0.0674285888671875
HEPG2,HEPG2-09,32,0.0574493408203125,38,0.055973052978515625,0.0574493408203125
HEPG2,HEPG2-06,129,0.2244873046875,192,0.21810150146484375,0.2244873046875
HEPG2,HEPG2-11,66,0.1253814697265625,75,0.12563705444335938,0.1253814697265625
HEPG2,HEPG2-11,127,0.19635009765625,156,0.2018890380859375,0.19635009765625
HEPG2,HEPG2-09,23,0.0410003662109375,30,0.037353515625,0.0410003662109375
HEPG2,HEPG2-04,87,0.11456298828125,118,0.10471725463867188,0.11456298828125
HEPG2,HEPG2-03,39,0.064117431640625,43,0.058177947998046875,0.064117431640625
HEPG2,HEPG2-04,95,0.192138671875,138,0.19448471069335938,0.192138671875
HEPG2,HEPG2-10,86,0.1708831787109375,118,0.15910720825195312,0.1708831787109375
HEPG2,HEPG2-04,126,0.17828369140625,150,0.17895889282226562,0.17828369140625
HEPG2,HEPG2-05,23,0.0386962890625,20,0.030086517333984375,0.0386962890625
HEPG2,HEPG2-07,52,0.0929107666015625,61,0.083526611328125,0.0929107666015625
HEPG2,HEPG2-09,137,0.241180419921875,189,0.24205780029296875,0.241180419921875
HEPG2,HEPG2-06,112,0.1105194091796875,97,0.09046554565429688,0.1105194091796875
HEPG2,HEPG2-04,99,0.152008056640625,116,0.15581893920898438,0.152008056640625
HEPG2,HEPG2-02,177,0.443817138671875,474,0.3308296203613281,0.443817138671875
HEPG2,HEPG2-02,183,0.396453857421875,386,0.3593788146972656,0.396453857421875
HEPG2,HEPG2-03,74,0.1177520751953125,91,0.11524200439453125,0.1177520751953125
HEPG2,HEPG2-01,144,0.41351318359375,359,0.3619041442871094,0.41351318359375
HEPG2,HEPG2-07,113,0.238250732421875,177,0.23040390014648438,0.238250732421875
HEPG2,HEPG2-05,97,0.145721435546875,115,0.1457366943359375,0.145721435546875
HEPG2,HEPG2-09,42,0.086517333984375,48,0.08632278442382812,0.086517333984375
HEPG2,HEPG2-10,141,0.2720947265625,208,0.2667503356933594,0.2720947265625
HEPG2,HEPG2-03,65,0.096954345703125,73,0.0923309326171875,0.096954345703125
HEPG2,HEPG2-06,105,0.1849517822265625,152,0.18757247924804688,0.1849517822265625
HEPG2,HEPG2-01,102,0.209136962890625,149,0.19704437255859375,0.209136962890625
HEPG2,HEPG2-07,63,0.12445068359375,94,0.12212753295898438,0.12445068359375
HEPG2,HEPG2-09,53,0.1041717529296875,77,0.10080718994140625,0.1041717529296875
HEPG2,HEPG2-10,97,0.1973114013671875,126,0.18698883056640625,0.1973114013671875
HEPG2,HEPG2-04,80,0.163482666015625,100,0.16152572631835938,0.163482666015625
HEPG2,HEPG2-04,82,0.1656951904296875,123,0.16714859008789062,0.1656951904296875
HEPG2,HEPG2-09,44,0.0798797607421875,50,0.07702255249023438,0.0798797607421875
HEPG2,HEPG2-11,121,0.2432098388671875,181,0.24631881713867188,0.2432098388671875
HEPG2,HEPG2-06,49,0.087554931640625,51,0.08652877807617188,0.087554931640625
HEPG2,HEPG2-01,217,0.4764251708984375,615,0.4362831115722656,0.4764251708984375
HEPG2,HEPG2-08,93,0.203094482421875,137,0.19013214111328125,0.203094482421875
HEPG2,HEPG2-10,64,0.108795166015625,80,0.105682373046875,0.108795166015625
HEPG2,HEPG2-10,95,0.1837005615234375,129,0.18429946899414062,0.1837005615234375
HEPG2,HEPG2-04,53,0.1109466552734375,67,0.10768890380859375,0.1109466552734375
HEPG2,HEPG2-04,99,0.1736907958984375,123,0.1746368408203125,0.1736907958984375
HEPG2,HEPG2-03,47,0.0757293701171875,50,0.0760650634765625,0.0757293701171875
HEPG2,HEPG2-01,215,0.425628662109375,497,0.3838539123535156,0.425628662109375
HEPG2,HEPG2-07,72,0.169708251953125,95,0.17009353637695312,0.169708251953125
HEPG2,HEPG2-06,140,0.1977996826171875,182,0.18801498413085938,0.1977996826171875
HEPG2,HEPG2-04,17,0.0269622802734375,17,0.02215576171875,0.0269622802734375
HEPG2,HEPG2-01,235,0.4113006591796875,554,0.3835601806640625,0.4113006591796875
HEPG2,HEPG2-04,46,0.07244873046875,46,0.06696319580078125,0.07244873046875
HEPG2,HEPG2-09,42,0.0878448486328125,43,0.0825653076171875,0.0878448486328125
HEPG2,HEPG2-10,52,0.0938262939453125,55,0.0988006591796875,0.0938262939453125
HEPG2,HEPG2-02,206,0.31109619140625,368,0.2881050109863281,0.31109619140625
HEPG2,HEPG2-10,62,0.1047821044921875,71,0.09618759155273438,0.1047821044921875
HEPG2,HEPG2-01,148,0.5558013916015625,833,0.47310638427734375,0.5558013916015625
HEPG2,HEPG2-11,122,0.2797698974609375,248,0.2654304504394531,0.2797698974609375
HEPG2,HEPG2-02,68,0.1078948974609375,79,0.1065673828125,0.1078948974609375
HEPG2,HEPG2-06,139,0.26763916015625,211,0.2623100280761719,0.26763916015625
HEPG2,HEPG2-01,134,0.51641845703125,647,0.4427642822265625,0.51641845703125
HEPG2,HEPG2-03,46,0.076873779296875,52,0.06965255737304688,0.076873779296875
HEPG2,HEPG2-06,169,0.2292022705078125,226,0.229156494140625,0.2292022705078125
HEPG2,HEPG2-11,62,0.11151123046875,72,0.10614013671875,0.11151123046875
HEPG2,HEPG2-02,134,0.2580413818359375,198,0.24352645874023438,0.2580413818359375
HEPG2,HEPG2-02,179,0.2929840087890625,285,0.2738838195800781,0.2929840087890625
HEPG2,HEPG2-11,85,0.186431884765625,132,0.17499542236328125,0.186431884765625
HEPG2,HEPG2-10,104,0.1797637939453125,129,0.17727279663085938,0.1797637939453125
HEPG2,HEPG2-05,38,0.0787200927734375,46,0.07641220092773438,0.0787200927734375
HEPG2,HEPG2-06,73,0.1395416259765625,95,0.1375732421875,0.1395416259765625
HEPG2,HEPG2-02,159,0.3623199462890625,390,0.32709503173828125,0.3623199462890625
HEPG2,HEPG2-03,43,0.0711212158203125,48,0.0719146728515625,0.0711212158203125
HEPG2,HEPG2-07,90,0.158782958984375,116,0.1478424072265625,0.158782958984375
HEPG2,HEPG2-11,78,0.1566314697265625,107,0.15437698364257812,0.1566314697265625
HEPG2,HEPG2-09,59,0.1147308349609375,66,0.10773086547851562,0.1147308349609375
HEPG2,HEPG2-01,211,0.3472747802734375,372,0.3138275146484375,0.3472747802734375
HEPG2,HEPG2-07,79,0.13531494140625,94,0.13018417358398438,0.13531494140625
HEPG2,HEPG2-03,85,0.13751220703125,96,0.13182830810546875,0.13751220703125
HEPG2,HEPG2-04,101,0.1919097900390625,136,0.1920318603515625,0.1919097900390625
HEPG2,HEPG2-02,144,0.2176971435546875,170,0.19884109497070312,0.2176971435546875
HEPG2,HEPG2-03,85,0.14434814453125,105,0.14367294311523438,0.14434814453125
HEPG2,HEPG2-03,135,0.2237396240234375,190,0.22219467163085938,0.2237396240234375
HEPG2,HEPG2-10,126,0.234344482421875,206,0.22226333618164062,0.234344482421875
HEPG2,HEPG2-11,46,0.08807373046875,52,0.08562469482421875,0.08807373046875
HEPG2,HEPG2-01,214,0.396881103515625,465,0.3604011535644531,0.396881103515625
HEPG2,HEPG2-08,57,0.1178131103515625,73,0.11864852905273438,0.1178131103515625
